IMDB_Rating,Meta_score,Gross
9.3,80.0,28341469.0
9.2,100.0,134966411.0
9.0,84.0,534858444.0
9.0,90.0,57300000.0
9.0,96.0,4360000.0
8.9,94.0,377845905.0
8.9,94.0,107928762.0
8.9,94.0,96898818.0
8.8,74.0,292576195.0
8.8,66.0,37030102.0
8.8,92.0,315544750.0
8.8,82.0,330252182.0
8.8,90.0,6100000.0
8.7,87.0,342551365.0
8.7,73.0,171479930.0
8.7,90.0,46836394.0
8.7,82.0,290475067.0
8.7,83.0,112000000.0
8.6,90.0,23530892.0
8.6,96.0,53367844.0
8.6,79.0,23530892.0
8.6,74.0,188020017.0
8.6,79.0,7563397.0
8.6,96.0,10055859.0
8.6,91.0,216540909.0
8.6,61.0,136801374.0
8.6,59.0,57598247.0
8.6,65.0,100125643.0
8.6,85.0,130742922.0
8.6,90.0,322740140.0
8.6,85.0,23530892.0
8.6,98.0,269061.0
8.6,89.0,23530892.0
8.5,59.0,335451311.0
8.5,88.0,13092000.0
8.5,57.0,13182281.0
8.5,66.0,53089891.0
8.5,85.0,132384315.0
8.5,85.0,32572577.0
8.5,67.0,187705427.0
8.5,62.0,6719864.0
8.5,77.0,23341568.0
8.5,64.0,19501238.0
8.5,88.0,422783777.0
8.5,75.0,204843350.0
8.5,80.0,11990401.0
8.5,94.0,23530892.0
8.5,87.0,210609762.0
8.5,80.0,5321508.0
8.5,97.0,32000000.0
8.5,100.0,1024560.0
8.5,96.0,163245.0
8.5,99.0,19181.0
8.4,75.0,1661096.0
8.4,79.0,23530892.0
8.4,79.0,23530892.0
8.4,79.0,5017246.0
8.4,79.0,12391761.0
8.4,87.0,190241310.0
8.4,78.0,858373000.0
8.4,68.0,678815482.0
8.4,81.0,209726015.0
8.4,81.0,162805434.0
8.4,78.0,448139099.0
8.4,67.0,6532908.0
8.4,79.0,1223869.0
8.4,95.0,223808164.0
8.4,89.0,11286112.0
8.4,77.0,707481.0
8.4,80.0,25544867.0
8.4,76.0,2375308.0
8.4,79.0,5321508.0
8.4,85.0,248159971.0
8.4,66.0,44017374.0
8.4,94.0,83471511.0
8.4,89.0,78900000.0
8.4,79.0,23530892.0
8.4,79.0,23530892.0
8.4,97.0,275902.0
8.4,79.0,8175000.0
8.4,90.0,23530892.0
8.4,100.0,36764313.0
8.4,79.0,23530892.0
8.4,79.0,288475.0
8.3,78.0,159227644.0
8.3,79.0,23530892.0
8.3,79.0,1373943.0
8.3,79.0,23530892.0
8.3,77.0,687185.0
8.3,95.0,7098492.0
8.3,80.0,6857096.0
8.3,79.0,23530892.0
8.3,79.0,23530892.0
8.3,69.0,120540719.0
8.3,89.0,34400301.0
8.3,69.0,33225499.0
8.3,55.0,30328156.0
8.3,68.0,3635482.0
8.3,84.0,130096601.0
8.3,70.0,138433435.0
8.3,77.0,933933.0
8.3,95.0,191796233.0
8.3,68.0,75600000.0
8.3,79.0,2832029.0
8.3,76.0,46357676.0
8.3,79.0,23530892.0
8.3,84.0,85160248.0
8.3,88.0,51973029.0
8.3,65.0,45598982.0
8.3,58.0,309125409.0
8.3,86.0,11487676.0
8.3,94.0,28262574.0
8.3,83.0,159600000.0
8.3,77.0,6207725.0
8.3,84.0,56954992.0
8.3,74.0,15000000.0
8.3,100.0,44824144.0
8.3,94.0,18600000.0
8.3,98.0,13275000.0
8.3,100.0,3200000.0
8.3,99.0,8819028.0
8.3,79.0,55240.0
8.3,79.0,332930.0
8.3,95.0,5720000.0
8.3,100.0,1585634.0
8.3,79.0,28877.0
8.3,98.0,1236166.0
8.3,79.0,5450000.0
8.2,79.0,898575.0
8.2,79.0,4186168.0
8.2,79.0,23530892.0
8.2,69.0,85080171.0
8.2,88.0,54513740.0
8.2,79.0,342370.0
8.2,79.0,20186659.0
8.2,65.0,23530892.0
8.2,79.0,739478.0
8.2,79.0,1429534.0
8.2,73.0,144501.0
8.2,79.0,1626289.0
8.2,89.0,23530892.0
8.2,79.0,7461.0
8.2,79.0,39567.0
8.2,80.0,6391436.0
8.2,71.0,13657115.0
8.2,63.0,128012934.0
8.2,88.0,293004164.0
8.2,75.0,116900694.0
8.2,68.0,1113541.0
8.2,93.0,40222514.0
8.2,98.0,37634615.0
8.2,92.0,415004880.0
8.2,62.0,70511035.0
8.2,79.0,2197331.0
8.2,79.0,733094.0
8.2,70.0,206852432.0
8.2,79.0,1223240.0
8.2,82.0,5509040.0
8.2,80.0,4711096.0
8.2,72.0,170742341.0
8.2,79.0,23530892.0
8.2,66.0,3897569.0
8.2,90.0,64616940.0
8.2,79.0,23530892.0
8.2,76.0,67436818.0
8.2,73.0,42438300.0
8.2,79.0,23530892.0
8.2,85.0,101157447.0
8.2,65.0,197171806.0
8.2,79.0,280015.0
8.2,86.0,1105564.0
8.2,72.0,83008852.0
8.2,96.0,4135750.0
8.2,89.0,23383987.0
8.2,79.0,234723.0
8.2,79.0,23530892.0
8.2,79.0,23530892.0
8.2,79.0,23530892.0
8.2,91.0,1229197.0
8.2,86.0,12100000.0
8.2,88.0,23530892.0
8.2,79.0,23530892.0
8.2,60.0,23530892.0
8.2,98.0,25000000.0
8.2,88.0,23530892.0
8.2,88.0,23530892.0
8.2,97.0,57226.0
8.2,75.0,12562.0
8.2,79.0,23530892.0
8.2,98.0,96568.0
8.2,98.0,10177.0
8.2,98.0,5014000.0
8.2,86.0,23530892.0
8.2,79.0,5450000.0
8.2,79.0,977375.0
8.1,95.0,3759854.0
8.1,79.0,1241223.0
8.1,78.0,23530892.0
8.1,79.0,23530892.0
8.1,84.0,2006788.0
8.1,74.0,3492754.0
8.1,79.0,901610.0
8.1,77.0,226277068.0
8.1,86.0,14677674.0
8.1,77.0,3107072.0
8.1,83.0,23530892.0
8.1,88.0,165520.0
8.1,79.0,10616104.0
8.1,79.0,923221.0
8.1,88.0,59100318.0
8.1,79.0,167767189.0
8.1,71.0,23530892.0
8.1,71.0,67209615.0
8.1,94.0,356461711.0
8.1,79.0,2804874.0
8.1,96.0,56671993.0
8.1,74.0,26947624.0
8.1,81.0,117624028.0
8.1,93.0,45055776.0
8.1,85.0,857524.0
8.1,79.0,1035953.0
8.1,79.0,3108485.0
8.1,70.0,61002302.0
8.1,90.0,154058340.0
8.1,79.0,23530892.0
8.1,72.0,148095302.0
8.1,85.0,381011219.0
8.1,68.0,1498210.0
8.1,79.0,23530892.0
8.1,79.0,23530892.0
8.1,75.0,217581231.0
8.1,73.0,18354356.0
8.1,91.0,74283625.0
8.1,79.0,2217561.0
8.1,86.0,100492203.0
8.1,79.0,23530892.0
