IMDB_Rating,No_of_Votes,Gross
9.3,2343110,28341469.0
9.2,1620367,134966411.0
9.0,2303232,534858444.0
9.0,1129952,57300000.0
9.0,689845,4360000.0
8.9,1642758,377845905.0
8.9,1826188,107928762.0
8.9,1213505,96898818.0
8.8,2067042,292576195.0
8.8,1854740,37030102.0
8.8,1661481,315544750.0
8.8,1809221,330252182.0
8.8,688390,6100000.0
8.7,1485555,342551365.0
8.7,1676426,171479930.0
8.7,1020727,46836394.0
8.7,1159315,290475067.0
8.7,918088,112000000.0
8.6,55291,
8.6,552778,53367844.0
8.6,54995,
8.6,1512360,188020017.0
8.6,699256,7563397.0
8.6,651376,10055859.0
8.6,1235804,216540909.0
8.6,1147794,136801374.0
8.6,623629,57598247.0
8.6,1445096,100125643.0
8.6,1270197,130742922.0
8.6,1231473,322740140.0
8.6,42004,
8.6,315744,269061.0
8.6,405801,
8.5,939252,335451311.0
8.5,717585,13092000.0
8.5,760360,13182281.0
8.5,1190259,53089891.0
8.5,1189773,132384315.0
8.5,729603,32572577.0
8.5,1341460,187705427.0
8.5,1034705,6719864.0
8.5,991208,23341568.0
8.5,1035236,19501238.0
8.5,942045,422783777.0
8.5,995506,204843350.0
8.5,230763,11990401.0
8.5,235231,
8.5,1058081,210609762.0
8.5,302844,5321508.0
8.5,604211,32000000.0
8.5,522093,1024560.0
8.5,217881,163245.0
8.5,167839,19181.0
8.4,62635,1661096.0
8.4,34112,
8.4,28401,
8.4,194838,5017246.0
8.4,156479,12391761.0
8.4,375110,190241310.0
8.4,809955,858373000.0
8.4,834477,678815482.0
8.4,384171,209726015.0
8.4,1357682,162805434.0
8.4,1516346,448139099.0
8.4,344445,6532908.0
8.4,168895,1223869.0
8.4,999790,223808164.0
8.4,358685,11286112.0
8.4,515451,707481.0
8.4,1125712,25544867.0
8.4,343171,2375308.0
8.4,311365,5321508.0
8.4,884112,248159971.0
8.4,898237,44017374.0
8.4,606398,83471511.0
8.4,787806,78900000.0
8.4,30273,
8.4,34357,
8.4,450474,275902.0
8.4,108862,8175000.0
8.4,178092,
8.4,444074,36764313.0
8.4,201632,
8.4,203150,288475.0
8.3,425844,159227644.0
8.3,27793,
8.3,71875,1373943.0
8.3,30722,
8.3,281623,687185.0
8.3,220002,7098492.0
8.3,150023,6857096.0
8.3,33935,
8.3,78925,
8.3,1267869,120540719.0
8.3,911664,34400301.0
8.3,703810,33225499.0
8.3,782001,30328156.0
8.3,766870,3635482.0
8.3,1069738,130096601.0
8.3,861606,138433435.0
8.3,65341,933933.0
8.3,887429,191796233.0
8.3,959181,75600000.0
8.3,918562,2832029.0
8.3,675146,46357676.0
8.3,59056,
8.3,652719,85160248.0
8.3,369007,51973029.0
8.3,740911,45598982.0
8.3,950470,309125409.0
8.3,231855,11487676.0
8.3,724636,28262574.0
8.3,241513,159600000.0
8.3,757904,6207725.0
8.3,603517,56954992.0
8.3,232772,15000000.0
8.3,268085,44824144.0
8.3,164363,18600000.0
8.3,299198,13275000.0
8.3,364368,3200000.0
8.3,218957,8819028.0
8.3,68463,55240.0
8.3,146427,332930.0
8.3,143525,5720000.0
8.3,403351,1585634.0
8.3,143434,28877.0
8.3,159992,1236166.0
8.3,113314,5450000.0
8.2,33893,898575.0
8.2,43444,4186168.0
8.2,36680,
8.2,377884,85080171.0
8.2,432610,54513740.0
8.2,31142,342370.0
8.2,75348,20186659.0
8.2,104761,
8.2,70367,739478.0
8.2,60701,1429534.0
8.2,40382,144501.0
8.2,61137,1626289.0
8.2,82365,
8.2,42341,7461.0
8.2,33237,39567.0
8.2,193217,6391436.0
8.2,435950,13657115.0
8.2,1129894,128012934.0
8.2,935507,293004164.0
8.2,1187498,116900694.0
8.2,74129,1113541.0
8.2,517359,40222514.0
8.2,618623,37634615.0
8.2,757032,415004880.0
8.2,1032749,70511035.0
8.2,111937,2197331.0
8.2,33354,733094.0
8.2,1308302,206852432.0
8.2,83005,1223240.0
8.2,331308,5509040.0
8.2,333915,4711096.0
8.2,848920,170742341.0
8.2,57057,
8.2,535216,3897569.0
8.2,531967,64616940.0
8.2,64118,
8.2,577113,67436818.0
8.2,466276,42438300.0
8.2,49300,
8.2,375935,101157447.0
8.2,692366,197171806.0
8.2,26402,280015.0
8.2,291180,1105564.0
8.2,793164,83008852.0
8.2,112505,4135750.0
8.2,321860,23383987.0
8.2,116945,234723.0
8.2,26875,
8.2,43885,
8.2,51284,
8.2,500875,1229197.0
8.2,224730,12100000.0
8.2,293811,
8.2,111244,
8.2,69458,
8.2,243943,25000000.0
8.2,96381,
8.2,164939,
8.2,28810,57226.0
8.2,158335,12562.0
8.2,53153,
8.2,152572,96568.0
8.2,120539,10177.0
8.2,114304,5014000.0
8.2,29915,
8.2,101053,5450000.0
8.2,41985,977375.0
8.1,63134,3759854.0
8.1,39216,1241223.0
8.1,47708,
8.1,141516,
8.1,113649,2006788.0
8.1,50700,3492754.0
8.1,50445,901610.0
8.1,647884,226277068.0
8.1,371538,14677674.0
8.1,177059,3107072.0
8.1,159171,
8.1,46547,165520.0
8.1,163061,10616104.0
8.1,51739,923221.0
8.1,707630,59100318.0
8.1,859695,167767189.0
8.1,38803,
8.1,435928,67209615.0
8.1,616228,356461711.0
8.1,75721,2804874.0
8.1,640533,56671993.0
8.1,432811,26947624.0
8.1,291289,117624028.0
8.1,420316,45055776.0
8.1,51679,857524.0
8.1,57806,1035953.0
8.1,67927,3108485.0
8.1,601149,61002302.0
8.1,882316,154058340.0
8.1,73891,
8.1,720450,148095302.0
8.1,764493,381011219.0
8.1,48582,1498210.0
