Gross,IMDB_Rating,Director,Genre,Released_Year,No_of_Votes
28341469,9.3,Frank Darabont,Drama,1994,2343110
134966411,9.2,Francis Ford Coppola,"Crime, Drama",1972,1620367
534858444,9,Christopher Nolan,"Action, Crime, Drama",2008,2303232
57300000,9,Francis Ford Coppola,"Crime, Drama",1974,1129952
4360000,9,Sidney Lumet,"Crime, Drama",1957,689845
377845905,8.9,Peter Jackson,"Action, Adventure, Drama",2003,1642758
107928762,8.9,Quentin Tarantino,"Crime, Drama",1994,1826188
96898818,8.9,Steven Spielberg,"Biography, Drama, History",1993,1213505
292576195,8.8,Christopher Nolan,"Action, Adventure, Sci-Fi",2010,2067042
37030102,8.8,David Fincher,Drama,1999,1854740
315544750,8.8,Peter Jackson,"Action, Adventure, Drama",2001,1661481
330252182,8.8,Robert Zemeckis,"Drama, Romance",1994,1809221
6100000,8.8,Sergio Leone,Western,1966,688390
342551365,8.7,Peter Jackson,"Action, Adventure, Drama",2002,1485555
171479930,8.7,Lana Wachowski,"Action, Sci-Fi",1999,1676426
46836394,8.7,Martin Scorsese,"Biography, Crime, Drama",1990,1020727
290475067,8.7,Irvin Kershner,"Action, Adventure, Fantasy",1980,1159315
112000000,8.7,Milos Forman,Drama,1975,918088
23530892,8.6,Thomas Kail,"Biography, Drama, History",2020,55291
53367844,8.6,Bong Joon Ho,"Comedy, Drama, Thriller",2019,552778
23530892,8.6,Sudha Kongara,Drama,2020,54995
188020017,8.6,Christopher Nolan,"Adventure, Drama, Sci-Fi",2014,1512360
7563397,8.6,Fernando Meirelles,"Crime, Drama",2002,699256
10055859,8.6,Hayao Miyazaki,"Animation, Adventure, Family",2001,651376
216540909,8.6,Steven Spielberg,"Drama, War",1998,1235804
136801374,8.6,Frank Darabont,"Crime, Drama, Fantasy",1999,1147794
57598247,8.6,Roberto Benigni,"Comedy, Drama, Romance",1997,623629
100125643,8.6,David Fincher,"Crime, Drama, Mystery",1995,1445096
130742922,8.6,Jonathan Demme,"Crime, Drama, Thriller",1991,1270197
322740140,8.6,George Lucas,"Action, Adventure, Fantasy",1977,1231473
23530892,8.6,Masaki Kobayashi,"Action, Drama, Mystery",1962,42004
269061,8.6,Akira Kurosawa,"Action, Adventure, Drama",1954,315744
23530892,8.6,Frank Capra,"Drama, Family, Fantasy",1946,405801
335451311,8.5,Todd Phillips,"Crime, Drama, Thriller",2019,939252
13092000,8.5,Damien Chazelle,"Drama, Music",2014,717585
13182281,8.5,Olivier Nakache,"Biography, Comedy, Drama",2011,760360
