Genre,IMDB_Rating,No_of_Votes,Gross,Released_Year
Drama,9.3,2343110,28341469.0,1994
"Crime, Drama",9.2,1620367,134966411.0,1972
"Action, Crime, Drama",9.0,2303232,534858444.0,2008
"Crime, Drama",9.0,1129952,57300000.0,1974
"Crime, Drama",9.0,689845,4360000.0,1957
"Action, Adventure, Drama",8.9,1642758,377845905.0,2003
"Crime, Drama",8.9,1826188,107928762.0,1994
"Biography, Drama, History",8.9,1213505,96898818.0,1993
"Action, Adventure, Sci-Fi",8.8,2067042,292576195.0,2010
Drama,8.8,1854740,37030102.0,1999
"Action, Adventure, Drama",8.8,1661481,315544750.0,2001
"Drama, Romance",8.8,1809221,330252182.0,1994
Western,8.8,688390,6100000.0,1966
"Action, Adventure, Drama",8.7,1485555,342551365.0,2002
"Action, Sci-Fi",8.7,1676426,171479930.0,1999
"Biography, Crime, Drama",8.7,1020727,46836394.0,1990
"Action, Adventure, Fantasy",8.7,1159315,290475067.0,1980
Drama,8.7,918088,112000000.0,1975
"Biography, Drama, History",8.6,55291,23530892.0,2020
"Comedy, Drama, Thriller",8.6,552778,53367844.0,2019
Drama,8.6,54995,23530892.0,2020
"Adventure, Drama, Sci-Fi",8.6,1512360,188020017.0,2014
"Crime, Drama",8.6,699256,7563397.0,2002
"Animation, Adventure, Family",8.6,651376,10055859.0,2001
"Drama, War",8.6,1235804,216540909.0,1998
"Crime, Drama, Fantasy",8.6,1147794,136801374.0,1999
"Comedy, Drama, Romance",8.6,623629,57598247.0,1997
"Crime, Drama, Mystery",8.6,1445096,100125643.0,1995
"Crime, Drama, Thriller",8.6,1270197,130742922.0,1991
"Action, Adventure, Fantasy",8.6,1231473,322740140.0,1977
"Action, Drama, Mystery",8.6,42004,23530892.0,1962
"Action, Adventure, Drama",8.6,315744,269061.0,1954
"Drama, Family, Fantasy",8.6,405801,23530892.0,1946
"Crime, Drama, Thriller",8.5,939252,335451311.0,2019
"Drama, Music",8.5,717585,13092000.0,2014
"Biography, Comedy, Drama",8.5,760360,13182281.0,2011
"Drama, Mystery, Sci-Fi",8.5,1190259,53089891.0,2006
"Crime, Drama, Thriller",8.5,1189773,132384315.0,2006
"Biography, Drama, Music",8.5,729603,32572577.0,2002
"Action, Adventure, Drama",8.5,1341460,187705427.0,2000
Drama,8.5,1034705,6719864.0,1998
"Crime, Mystery, Thriller",8.5,991208,23341568.0,1995
"Action, Crime, Drama",8.5,1035236,19501238.0,1994
"Animation, Adventure, Drama",8.5,942045,422783777.0,1994
"Action, Sci-Fi",8.5,995506,204843350.0,1991
"Drama, Romance",8.5,230763,11990401.0,1988
"Animation, Drama, War",8.5,235231,23530892.0,1988
"Adventure, Comedy, Sci-Fi",8.5,1058081,210609762.0,1985
Western,8.5,302844,5321508.0,1968
"Horror, Mystery, Thriller",8.5,604211,32000000.0,1960
"Drama, Romance, War",8.5,522093,1024560.0,1942
"Comedy, Drama, Family",8.5,217881,163245.0,1936
"Comedy, Drama, Romance",8.5,167839,19181.0,1931
Drama,8.4,62635,1661096.0,2018
"Biography, Drama, History",8.4,34112,23530892.0,2017
"Action, Crime, Drama",8.4,28401,23530892.0,2017
"Animation, Drama, Fantasy",8.4,194838,5017246.0,2016
"Action, Biography, Drama",8.4,156479,12391761.0,2016
"Animation, Action, Adventure",8.4,375110,190241310.0,2018
"Action, Adventure, Drama",8.4,809955,858373000.0,2019
"Action, Adventure, Sci-Fi",8.4,834477,678815482.0,2018
"Animation, Adventure, Family",8.4,384171,209726015.0,2017
"Drama, Western",8.4,1357682,162805434.0,2012
"Action, Adventure",8.4,1516346,448139099.0,2012
"Comedy, Drama",8.4,344445,6532908.0,2009
"Drama, Family",8.4,168895,1223869.0,2007
"Animation, Adventure, Family",8.4,999790,223808164.0,2008
"Drama, Mystery, Thriller",8.4,358685,11286112.0,2006
"Action, Drama, Mystery",8.4,515451,707481.0,2003
"Mystery, Thriller",8.4,1125712,25544867.0,2000
"Animation, Action, Adventure",8.4,343171,2375308.0,1997
"Crime, Drama",8.4,311365,5321508.0,1984
"Action, Adventure",8.4,884112,248159971.0,1981
"Drama, Horror",8.4,898237,44017374.0,1980
"Drama, Mystery, War",8.4,606398,83471511.0,1979
"Horror, Sci-Fi",8.4,787806,78900000.0,1979
"Drama, Musical",8.4,30273,23530892.0,1971
"Crime, Drama, Mystery",8.4,34357,23530892.0,1963
Comedy,8.4,450474,275902.0,1964
