Runtime,IMDB_Rating
142 min,9.3
175 min,9.2
152 min,9.0
202 min,9.0
96 min,9.0
201 min,8.9
154 min,8.9
195 min,8.9
148 min,8.8
139 min,8.8
178 min,8.8
142 min,8.8
161 min,8.8
179 min,8.7
136 min,8.7
146 min,8.7
124 min,8.7
133 min,8.7
160 min,8.6
132 min,8.6
153 min,8.6
169 min,8.6
130 min,8.6
125 min,8.6
169 min,8.6
189 min,8.6
116 min,8.6
127 min,8.6
118 min,8.6
121 min,8.6
133 min,8.6
207 min,8.6
130 min,8.6
122 min,8.5
106 min,8.5
112 min,8.5
130 min,8.5
151 min,8.5
150 min,8.5
155 min,8.5
119 min,8.5
106 min,8.5
110 min,8.5
88 min,8.5
137 min,8.5
155 min,8.5
89 min,8.5
116 min,8.5
165 min,8.5
109 min,8.5
102 min,8.5
87 min,8.5
87 min,8.5
126 min,8.4
125 min,8.4
147 min,8.4
106 min,8.4
161 min,8.4
117 min,8.4
181 min,8.4
149 min,8.4
105 min,8.4
165 min,8.4
164 min,8.4
170 min,8.4
165 min,8.4
98 min,8.4
137 min,8.4
101 min,8.4
113 min,8.4
134 min,8.4
229 min,8.4
115 min,8.4
146 min,8.4
147 min,8.4
117 min,8.4
122 min,8.4
143 min,8.4
95 min,8.4
116 min,8.4
88 min,8.4
112 min,8.4
110 min,8.4
125 min,8.4
119 min,8.3
104 min,8.3
139 min,8.3
160 min,8.3
115 min,8.3
123 min,8.3
131 min,8.3
132 min,8.3
112 min,8.3
153 min,8.3
108 min,8.3
122 min,8.3
104 min,8.3
102 min,8.3
122 min,8.3
126 min,8.3
89 min,8.3
81 min,8.3
178 min,8.3
99 min,8.3
116 min,8.3
142 min,8.3
137 min,8.3
160 min,8.3
170 min,8.3
131 min,8.3
149 min,8.3
114 min,8.3
129 min,8.3
136 min,8.3
149 min,8.3
132 min,8.3
228 min,8.3
125 min,8.3
136 min,8.3
128 min,8.3
103 min,8.3
143 min,8.3
89 min,8.3
107 min,8.3
119 min,8.3
117 min,8.3
153 min,8.3
68 min,8.3
143 min,8.2
138 min,8.2
156 min,8.2
130 min,8.2
115 min,8.2
132 min,8.2
167 min,8.2
96 min,8.2
163 min,8.2
146 min,8.2
87 min,8.2
186 min,8.2
321 min,8.2
134 min,8.2
135 min,8.2
129 min,8.2
140 min,8.2
138 min,8.2
96 min,8.2
180 min,8.2
153 min,8.2
158 min,8.2
118 min,8.2
103 min,8.2
132 min,8.2
167 min,8.2
122 min,8.2
140 min,8.2
210 min,8.2
156 min,8.2
119 min,8.2
135 min,8.2
156 min,8.2
107 min,8.2
138 min,8.2
128 min,8.2
170 min,8.2
178 min,8.2
160 min,8.2
130 min,8.2
127 min,8.2
142 min,8.2
86 min,8.2
132 min,8.2
162 min,8.2
129 min,8.2
162 min,8.2
99 min,8.2
177 min,8.2
204 min,8.2
91 min,8.2
172 min,8.2
129 min,8.2
110 min,8.2
179 min,8.2
121 min,8.2
91 min,8.2
96 min,8.2
118 min,8.2
105 min,8.2
136 min,8.2
88 min,8.2
138 min,8.2
126 min,8.2
99 min,8.2
95 min,8.2
45 min,8.2
122 min,8.1
136 min,8.1
130 min,8.1
106 min,8.1
145 min,8.1
139 min,8.1
160 min,8.1
137 min,8.1
118 min,8.1
122 min,8.1
100 min,8.1
196 min,8.1
153 min,8.1
125 min,8.1
99 min,8.1
149 min,8.1
117 min,8.1
139 min,8.1
95 min,8.1
151 min,8.1
134 min,8.1
123 min,8.1
152 min,8.1
129 min,8.1
93 min,8.1
122 min,8.1
155 min,8.1
153 min,8.1
120 min,8.1
104 min,8.1
116 min,8.1
130 min,8.1
130 min,8.1
93 min,8.1
92 min,8.1
98 min,8.1
148 min,8.1
122 min,8.1
144 min,8.1
132 min,8.1
121 min,8.1
140 min,8.1
80 min,8.1
156 min,8.1
131 min,8.1
183 min,8.1
111 min,8.1
100 min,8.1
141 min,8.1
154 min,8.1
92 min,8.1
87 min,8.1
224 min,8.1
107 min,8.1
169 min,8.1
103 min,8.1
127 min,8.1
117 min,8.1
98 min,8.1
93 min,8.1
98 min,8.1
170 min,8.1
98 min,8.1
189 min,8.1
101 min,8.1
99 min,8.1
102 min,8.1
127 min,8.1
133 min,8.1
171 min,8.1
125 min,8.1
128 min,8.1
89 min,8.1
120 min,8.1
145 min,8.1
117 min,8.1
109 min,8.1
95 min,8.1
158 min,8.1
188 min,8.1
117 min,8.1
124 min,8.1
94 min,8.1
183 min,8.1
120 min,8.1
121 min,8.1
185 min,8.1
107 min,8.1
130 min,8.1
102 min,8.1
91 min,8.1
167 min,8.1
105 min,8.1
127 min,8.1
85 min,8.1
205 min,8.1
121 min,8.1
95 min,8.1
134 min,8.1
96 min,8.1
123 min,8.1
95 min,8.1
89 min,8.1
128 min,8.1
99 min,8.1
212 min,8.1
139 min,8.1
110 min,8.1
110 min,8.1
161 min,8.1
108 min,8.1
131 min,8.1
111 min,8.1
114 min,8.1
104 min,8.1
135 min,8.1
99 min,8.1
130 min,8.1
129 min,8.1
238 min,8.1
113 min,8.1
105 min,8.1
110 min,8.1
72 min,8.1
94 min,8.1
67 min,8.1
76 min,8.1
124 min,8.0
113 min,8.0
130 min,8.0
163 min,8.0
159 min,8.0
128 min,8.0
118 min,8.0
144 min,8.0
108 min,8.0
159 min,8.0
137 min,8.0
113 min,8.0
154 min,8.0
144 min,8.0
96 min,8.0
150 min,8.0
114 min,8.0
121 min,8.0
164 min,8.0
126 min,8.0
134 min,8.0
156 min,8.0
103 min,8.0
115 min,8.0
118 min,8.0
146 min,8.0
108 min,8.0
119 min,8.0
144 min,8.0
106 min,8.0
165 min,8.0
128 min,8.0
120 min,8.0
108 min,8.0
115 min,8.0
143 min,8.0
96 min,8.0
117 min,8.0
117 min,8.0
143 min,8.0
115 min,8.0
88 min,8.0
124 min,8.0
112 min,8.0
127 min,8.0
111 min,8.0
144 min,8.0
137 min,8.0
110 min,8.0
103 min,8.0
126 min,8.0
144 min,8.0
186 min,8.0
